delocated_monad,10km_location,location_qualifier,easting_sw_delocated,northing_sw_delocated,easting_centroid_delocated,northing_centroid_delocated,plot_number,fizz_test,fizz_test_qualifier,soil_moisture_content,soil_moisture_content_qualifier,ACYC_CO2,ACYC_CO2_qualifier,AKGA_CO2,AKGA_CO2_qualifier,ARA_CO2,ARA_CO2_qualifier,ARG_CO2,ARG_CO2_qualifier,CIT_CO2,CIT_CO2_qualifier,CYS_CO2,CYS_CO2_qualifier,FRU_CO2,FRU_CO2_qualifier,GABA_CO2,GABA_CO2_qualifier,GLU_CO2,GLU_CO2_qualifier,LYS_CO2,LYS_CO2_qualifier,MAL_CO2,MAL_CO2_qualifier,NAGA_CO2,NAGA_CO2_qualifier,OXA_CO2,OXA_CO2_qualifier,PRO_CO2,PRO_CO2_qualifier,TRE_CO2,TRE_CO2_qualifier,WAT_CO2,WAT_CO2_qualifier
NT91-X-85,NT91,Sample location delocated to a 10km square (see metadata),390000,610000,395000,615000,4,0,,77.92,,7.86,,12.06,,9.68,,14.14,,12.66,,9.93,,16.85,,11.52,,14.62,,10.32,,17.17,,10.67,,13.82,,11.97,,17.83,,6.43,
NT94-X-59,NT94,Sample location delocated to a 10km square (see metadata),390000,640000,395000,645000,1,0,,16.54,,0.63,,6.56,,1.46,,1.04,,3.55,,0.88,,2.3,,0.9,,2.55,,0.51,,2.71,,1.83,,1.04,,1.14,,1.51,,0.3,
NT94-X-59,NT94,Sample location delocated to a 10km square (see metadata),390000,640000,395000,645000,3,0,,15.4,,0.86,,4.86,,2.09,,0.77,,2.76,,0.99,,2.88,,0.86,,3.35,,0.75,,2.38,,2.08,,0.73,,1.67,,2.16,,0.36,
NT94-X-59,NT94,Sample location delocated to a 10km square (see metadata),390000,640000,395000,645000,4,0,,16.59,,0.74,,3.86,,1.68,,1.63,,1.97,,0.94,,2.41,,1.28,,3.04,,0.53,,2.48,,1.96,,0.89,,1.3,,2.18,,0.38,
NU02-X-18,NU02,Sample location delocated to a 10km square (see metadata),400000,620000,405000,625000,1,0,,19.97,,0.57,,5.48,,1.15,,0.76,,2.57,,1.52,,1.86,,0.78,,1.98,,0.55,,2.42,,1.33,,1.32,,1.82,,1.47,,0.31,
NU02-X-18,NU02,Sample location delocated to a 10km square (see metadata),400000,620000,405000,625000,2,0,,18.62,,0.7,,5.47,,1.69,,0.94,,2.87,,1.36,,2.18,,1.08,,2.5,,0.56,,2.27,,1.31,,1.21,,1.96,,1.57,,0.3,
NU02-X-18,NU02,Sample location delocated to a 10km square (see metadata),400000,620000,405000,625000,3,0,,33.36,,1.18,,7.45,,3.21,,2.41,,3.46,,1.78,,4.11,,2.14,,4.81,,1.2,,6.57,,3.28,,2.61,,2.87,,3.62,,0.71,
NU02-X-18,NU02,Sample location delocated to a 10km square (see metadata),400000,620000,405000,625000,4,1,,17.86,,0.77,,6.58,,2.19,,0.7,,3.54,,1.01,,3.2,,0.88,,3.19,,0.51,,2.8,,1.67,,1.06,,1.64,,1.95,,0.29,
NU12-X-33,NU12,Sample location delocated to a 10km square (see metadata),410000,620000,415000,625000,1,0,,22.28,,0.89,,5.74,,1.85,,1.31,,2.62,,1.42,,3,,1.12,,3.06,,0.72,,2.6,,2.2,,1.26,,1.89,,2.14,,0.4,
NU12-X-33,NU12,Sample location delocated to a 10km square (see metadata),410000,620000,415000,625000,2,1,,18.87,,0.64,,7.45,,1.82,,0.33,,4.91,,2.23,,2.19,,0.74,,2.29,,0.88,,4.06,,1.17,,2.51,,1.27,,1.17,,0.37,
