delocated_monad,10km_location,location_qualifier,easting_sw_delocated,northing_sw_delocated,easting_centroid_delocated,northing_centroid_delocated,plot_number,fizz_test,fizz_test_qualifier,soil_moisture_content,soil_moisture_content_qualifier,ACYC_SIR,ACYC_SIR_qualifier,AKGA_SIR,AKGA_SIR_qualifier,ARA_SIR,ARA_SIR_qualifier,ARG_SIR,ARG_SIR_qualifier,CIT_SIR,CIT_SIR_qualifier,CYS_SIR,CYS_SIR_qualifier,FRU_SIR,FRU_SIR_qualifier,GABA_SIR,GABA_SIR_qualifier,GLU_SIR,GLU_SIR_qualifier,LYS_SIR,LYS_SIR_qualifier,MAL_SIR,MAL_SIR_qualifier,NAGA_SIR,NAGA_SIR_qualifier,OXA_SIR,OXA_SIR_qualifier,PRO_SIR,PRO_SIR_qualifier,TRE_SIR,TRE_SIR_qualifier
NT91-X-85,NT91,Sample location delocated to a 10km square (see metadata),390000,610000,395000,615000,4,0,,77.92,,1.43,,5.64,,3.25,,7.71,,6.23,,3.51,,10.43,,5.09,,8.19,,3.9,,10.74,,4.24,,7.39,,5.54,,11.4,
NT94-X-59,NT94,Sample location delocated to a 10km square (see metadata),390000,640000,395000,645000,1,0,,16.54,,0.33,,6.26,,1.16,,0.74,,3.25,,0.58,,2,,0.6,,2.25,,0.21,,2.41,,1.53,,0.74,,0.84,,1.21,
NT94-X-59,NT94,Sample location delocated to a 10km square (see metadata),390000,640000,395000,645000,3,0,,15.4,,0.51,,4.5,,1.73,,0.42,,2.4,,0.64,,2.52,,0.51,,2.99,,0.4,,2.02,,1.73,,0.38,,1.31,,1.8,
NT94-X-59,NT94,Sample location delocated to a 10km square (see metadata),390000,640000,395000,645000,4,0,,16.59,,0.36,,3.48,,1.3,,1.25,,1.59,,0.56,,2.03,,0.9,,2.66,,0.15,,2.1,,1.58,,0.51,,0.92,,1.8,
NU02-X-18,NU02,Sample location delocated to a 10km square (see metadata),400000,620000,405000,625000,1,0,,19.97,,0.26,,5.17,,0.84,,0.46,,2.26,,1.21,,1.55,,0.48,,1.67,,0.24,,2.12,,1.02,,1.01,,1.52,,1.16,
NU02-X-18,NU02,Sample location delocated to a 10km square (see metadata),400000,620000,405000,625000,2,0,,18.62,,0.4,,5.17,,1.39,,0.64,,2.57,,1.06,,1.88,,0.77,,2.2,,0.25,,1.96,,1.01,,0.9,,1.66,,1.27,
NU02-X-18,NU02,Sample location delocated to a 10km square (see metadata),400000,620000,405000,625000,3,0,,33.36,,0.47,,6.74,,2.5,,1.7,,2.75,,1.07,,3.4,,1.43,,4.09,,0.49,,5.86,,2.57,,1.9,,2.15,,2.91,
NU02-X-18,NU02,Sample location delocated to a 10km square (see metadata),400000,620000,405000,625000,4,1,,17.86,,0.48,,6.29,,1.9,,0.41,,3.25,,0.73,,2.91,,0.59,,2.9,,0.22,,2.52,,1.38,,0.77,,1.36,,1.67,
NU12-X-33,NU12,Sample location delocated to a 10km square (see metadata),410000,620000,415000,625000,1,0,,22.28,,0.49,,5.34,,1.45,,0.91,,2.22,,1.02,,2.6,,0.72,,2.66,,0.32,,2.2,,1.8,,0.86,,1.49,,1.74,
NU12-X-33,NU12,Sample location delocated to a 10km square (see metadata),410000,620000,415000,625000,2,1,,18.87,,0.28,,7.09,,1.46,,,NULL,4.55,,1.86,,1.82,,0.37,,1.92,,0.51,,3.7,,0.8,,2.14,,0.91,,0.81,
NU12-X-33,NU12,Sample location delocated to a 10km square (see metadata),410000,620000,415000,625000,3,0,,28.03,,0.36,,1.97,,1.58,,1.44,,1.3,,0.89,,2.62,,1,,3.08,,0.22,,3.53,,2.84,,0.82,,1.47,,2.02,
NU12-X-33,NU12,Sample location delocated to a 10km square (see metadata),410000,620000,415000,625000,4,0,,19.93,,0.56,,6.13,,2.53,,0.67,,3.27,,1.04,,3.55,,0.89,,3.67,,0.37,,3.01,,2.16,,0.69,,1.88,,2.6,
